id,name,url,price,old_price,brand,city
638998363,"Шоколад Zaini Women Of Cocoa темный 80%, 75г",https://online.metro-cc.ru/products/75g-shokolad-temnyy-zaini-80-women-of-cocoa,259.0,389.0,ZAINI,Москва
594147229,"Шоколад Кондитерская фабрика Крупской особый 85% какао, 88г",https://online.metro-cc.ru/products/88g-shokolad-osobyy-kf-im-nk-krupskoy-85-kakao,179.0,254.0,КОНДИТЕРСКАЯ ФАБРИКА КРУПСКОЙ,Москва
594721,"Батончик шоколадный Snickers Криспер 40г х 4шт, 160г",https://online.metro-cc.ru/products/4h40g-batonchik-snickers-shokoladnyj-krisper-mp,185.0,,SNICKERS,Москва
288642737,"RIOBA Шоколад горький 72% какао, 20г x 18 шт",https://online.metro-cc.ru/products/20g-shokolad-rioba-gorkiy-72-kakao-135966,664.2,,RIOBA,Москва
636725732,"Батончик шоколадный Акконд Прохлада на основе воздушной нуги с кокосовой стружкой, 40г",https://online.metro-cc.ru/products/40g-konfeta-akkond-prohlada-kokos,21.9,24.9,АККОНД,Москва
528223,"Шоколад Merci темный с начинкой из восхитительного марципана, 112г",https://online.metro-cc.ru/products/temnyj-merci-s-marcipanom-112g,225.0,261.0,MERCI,Москва
376206,"Батончик Grondard Марципан классический, 50г",https://online.metro-cc.ru/products/grondard-marcipan-klassicheskij-50g,79.9,92.9,GRONDARD,Москва
634436,"Яйцо шоколадное Конфитрейд Шоки Токи, 20г",https://online.metro-cc.ru/products/20g-shokoladnoe-yajco-konfitrejd-shoki-toki,75.9,,КОНФИТРЕЙД,Москва
177614142,"Шоколад Villars молочный без сахара, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-molochnyy-bez-sahara,539.0,569.0,VILLARS,Москва
554962,"Яйцо кондитерское Mr.Chokky + машинка Крутой дрифт, 20г",https://online.metro-cc.ru/products/yajco-mrchokky-konditerskoe-krutoj-drift,70.9,,MR.CHOKKY,Москва
98926855,"Шоколад Бабаевский криспи-кешью, 90г",https://online.metro-cc.ru/products/90g-shokolad-babaevskiy-krispikeshyu,129.0,144.0,БАБАЕВСКИЙ,Москва
633417178,"Шоколад Воздушный пористый темный, 80г",https://online.metro-cc.ru/products/80g-shokolad-tyomnyy-vozdushnyy-poristyy,105.0,128.0,ВОЗДУШНЫЙ,Москва
601247098,"Шоколад Коркунов молочный классический, 90г",https://online.metro-cc.ru/products/90g-shokolad-korkunov-molochnyy,165.0,189.0,КОРКУНОВ,Москва
248809,"Изделие кондитерское Kinder Joy Winx с игрушкой, 24г",https://online.metro-cc.ru/products/kinder-joy-s-igrushkoj-infinimiks-20g,135.0,,KINDER JOY,Москва
637270914,"Шоколад Milka Елка молочный белый, 73г",https://online.metro-cc.ru/products/shokolad-milka-elka-molochnyy-belyy-73g,109.0,176.0,MILKA,Санкт-Петербург
637272504,"Шоколад Alpen Gold Игристое вино-клубника, 80г",https://online.metro-cc.ru/products/shokolad-alpen-gold-igristoe-vino-klubnika-80g,74.0,102.0,ALPEN GOLD,Санкт-Петербург
175806,"Шоколадное яйцо Kinder Surprise Maxi, 100г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-maxi-iz-molochnogo-shokolada-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-liga-spravedlivosti-100g,459.0,,KINDER SURPRISE,Санкт-Петербург
158509,"Набор подарочный Kinder Maxi Mix, 223г",https://online.metro-cc.ru/products/art-400907,699.0,,KINDER MAXI,Санкт-Петербург
528897,"Шоколад Kinder Дед Мороз молочный, 55г",https://online.metro-cc.ru/products/figurnyj-shokolad-kinder-ded-moroz-55-g,249.0,,KINDER,Санкт-Петербург
